id,templateID,sectionNumber,level,title,content
11,1,11,2,Risk/Benefit Assessment,
12,1,12,3,Known Potential Risks,"Include a discussion of known potential risks from either clinical or nonclinical studies.  For behavioral or social intervention studies, relevant published literature should provide relevant risk information. For studies including a licensed or approved product, a package insert or device labeling should be used as a primary source of risk information. If the study includes an investigational product, the Investigator’s Brochure (IB) should be a primary source of the risk information. 

• Potential risks and discomforts must be minimized to the greatest extent possible by using procedures such as appropriate training of personnel, monitoring, withdrawal of the subject upon evidence of difficulty or adverse event; and referral for treatment, counseling or other necessary follow-up.
• Consider not only immediate risks, but also delayed or long-term risks 
• Consider physical, reproductive, psychological, social, legal, and economic risks as well as community or group harms (e.g., breach of confidentiality is a common risk in social and behavioral research). If applicable, describe risks to others who are not subjects (e.g., group harms, harms to society).
• If risk is related to proposed procedures included in the protocol, describe alternative procedures that have been considered and explain why alternative procedures are not included. 
• Provide a description of alternative courses of action which are available should the subject elect not to participate in the study.  If there are no alternatives available to the subject, this should be stated."
13,1,13,3,Known Potential Benefits,"Include a discussion of known potential benefits from either clinical or nonclinical studies.  For behavioral or social intervention studies, relevant published literature should provide potentially relevant benefits information. For studies including a licensed or approved product, a package insert or device labeling should be used as a primary source of benefits information. If the study includes an investigational product, the Investigator’s Brochure (IB) should be a primary source of the benefits information. 

Describe any physical, psychological, social, or any other potential benefits to individual participants or society in general, as a result of participating in the study, addressing each of the following: 

• Immediate potential benefits
• Long-range potential benefits
Note that payment to participants, whether as an inducement to participate or as compensation for time and inconvenience, is not considered a “benefit.” Provision of incidental care is also not to be considered a benefit."
14,1,14,3,Assessment of Potential Risks and Benefits,"Include an assessment of known potential risks and benefits, addressing each of the following:

• Rationale for the necessity of exposing participants to risks 
• A summary of the ways that risks to participants were minimized in the study design
• Justification as to why the value of the information to be gained outweighs the risks of participation in the study
• If you are enrolling more than one population (e.g. affected participants and healthy participants), be sure to address the above for each cohort."
15,1,15,1,OBJECTIVES AND ENDPOINTS,"Provide a description of the study objectives and endpoints, as well as a justification for selecting the particular endpoints, in the table format included below. This will provide clear articulation of how the selected primary and secondary endpoint(s) are linked to achieving the primary and secondary objectives and an explanation of why endpoint(s) were chosen. Data points collected in the study should support an objective or have a regulatory purpose. Therefore, careful consideration should be given prospectively to the amount of data needed to support the study’s objectives.

An objective is the purpose for performing the study in terms of the scientific question to be answered. Express each objective as a statement of purpose (e.g., to assess, to determine, to compare, to evaluate) and include the general purpose (e.g., feasibility, acceptability, engagement of the intervention target, identifying mechanisms of action, mediation, moderation, efficacy, effectiveness, dissemination, implementation).

A study endpoint is a specific measurement or observation to assess the effect of the study intervention. Study endpoints should be prioritized and should correspond to the study objectives and hypotheses being tested. Give succinct and precise definitions of the study endpoints used to address the study’s primary objective and secondary objectives (e.g., specific diagnostic tests that define safety or efficacy, clinical assessments of disease status, assessments of psychosocial characteristics, patient reported outcomes, behaviors or health outcomes). A full description of study endpoints, including administration, scoring, psychometrics, adjudication of endpoints, etc., belongs in Section 8, Study Assessments and Procedures.  

A putative mechanism of action is the theorized explanation for how the intervention functions.  

Consider whether primary and secondary endpoints should be adjusted for multiple comparisons, family-wise error rates, alpha inflation, etc. Details of any such adjustments should be included in Section 9.4.2, Analysis of the Primary Endpoint(s) and Section 9.4.3, Analysis of the Secondary Endpoint(s).  

OBJECTIVES

	ENDPOINTS

	JUSTIFICATION FOR ENDPOINTS

	
Primary

			
The primary objective is the main question. This objective generally drives statistical planning for the trial (e.g., calculation of the sample size to provide the appropriate power for statistical testing).

	The primary endpoint(s) should be clearly specified and its importance and role in the analysis and interpretation of study results should be defined. The primary endpoint(s) is the basis for concluding that the study met its objective. 

In a trial designed to establish efficacy, a primary endpoint should measure a clinically meaningful therapeutic effect or should have demonstrated ability to predict clinical benefit.  

	Briefly identify the hypothesized role that each measure plays in the study objectives, e.g., moderator, mediator, causal mechanisms, covariate.  

	
Secondary

			
The secondary objective(s) are goals that will provide further information on the use of the intervention.

	Secondary endpoints should be clearly specified and may include, for example, endpoints related to efficacy, safety, or both.  Secondary endpoints are those that may provide supportive information about the study intervention’s effect on the primary endpoint or demonstrate additional effects on the disease or condition. It is recommended that the list of secondary endpoints be short, because the chance of demonstrating an effect on any secondary endpoint after appropriate correction for multiple comparisons becomes increasingly small as the number of endpoints increases.  

	Briefly identify the hypothesized role that each measure plays in the study objectives, e.g., moderator, mediator, causal mechanisms, covariate.  

	
Tertiary/Exploratory 

			
Tertiary/exploratory objective(s) serve as a basis for explaining or supporting findings of primary analyses and for suggesting further hypotheses for later research.

	If exploratory endpoints will be examined, they should be specified. Exploratory endpoints may include clinically important events that are expected to occur too infrequently to show a treatment effect or endpoints that for other reasons are thought to be less likely to show an effect but are included to explore new hypotheses.   

	Briefly identify the hypothesized role that each measure plays in the study objectives, e.g., moderator, mediator, causal mechanisms, covariate."
16,1,16,1,STUDY DESIGN,
17,1,17,2,Overall Design,"The scientific integrity of the trial and the credibility of the data from the trial depend substantially on the trial design.  A description of the trial design should be consistent with the Protocol Synopsis (section 1.1) and Protocol Schema (section 1.2) and include:

• Indicate if single site or multi-site. Multi-site study is defined as the same protocol used to conduct non-exempt human subjects research at more than one site.  If single site, identify at which NIH location the research activity will occur.  If multi-site, specify which research activities are taking place at each location involved. Refer to NIH HRPP Polices 105 and 109 for guidance on multi-site studies.
• A statement of the hypothesis 
•  A description of the Phase or Stage of the trial
• A description of the type/design of trial to be conducted (e.g., randomized, attention-control, multiple baseline, A-B-A design, dismantling, adaptive, SMART design, optimization trials, repeated measures, group- or cluster-randomized, superiority or non-inferiority design, within-subjects) 
• Specification of the method for assigning participants to study groups/arms (i.e., randomized, non-randomized (single-arm design), or N/A). If randomization is used, specify the following: • Randomization method
• Specify allocation ratio, unit of randomization, allocation concealment, and when in the study timeline randomization will occur (e.g., after baseline assessment)
• Who (i.e., what role) will generate and implement the randomization schema
• How randomization errors be handled

• Specification of the number of study groups/arms and duration of the study intervention and follow-up period(s)
• Name and brief description of study intervention(s) 
• If appropriate, description of control group(s) used; attention-control or other comparison conditions. Provide a rationale for the selection of control group(s) and discuss limitations associated with it. Selection of control groups should be based on how best to address the research question. In some cases, subjects can serve as their own controls.
• Note if interim analysis is planned and refer to details in Section 9.4.6, Planned Interim Analysis
• Note if the study includes any stratifications and if so, identify the stratification planned (e.g. sex, race/ethnicity, age, dose) and refer to details in Section 9.4.7, Sub-Group Analyses 
• Name of sub-studies, if any, included in this protocol. For instance, a sub-study might entail performing one or more assessments on a subset of the sample included in the study (e.g., conducting a cognitive interview on a 10% of the study subjects)."
18,1,18,2,Scientific Rationale for Study Design,"Describe the rationale for the type and selection of control or comparison condition(s) and study design. Discuss known or potential problems associated with the control group chosen in light of the specific disease, health behavior, and intervention(s) being studied."
19,1,19,2,Justification for Intervention,"Provide a justification for the mode of intervention delivery, and for the length, number, and frequency of intervention contacts. If an intervention has been adapted for other cultures, provide justification for these adaptations being culturally relevant. Briefly describe the minimum-acceptable participation in, or exposure to, the intervention in order to have evaluable data."
20,1,20,2,End-Of-Study Definition,"A clinical trial is considered completed when participants are no longer being examined or the last participant’s last study visit has occurred. 

Example text provided as a guide, customize as needed:  

A participant is considered to have completed the study if he or she has completed the baseline assessment, at least 4 intervention sessions, and the 6-month and 12-month follow-up assessments. 

The end of the study is defined as completion of the 12-month follow-up assessment shown in the Schedule of Activities (SoA), Section 1.3."
21,1,21,1,STUDY POPULATION,"If the study design requires clarification of various groups of study participants, that clarification can be included directly under Section 5. For example, for a feasibility study that includes therapist-participants and patient-participants, clarify the distinction of those populations here. Subsequent subsections should also differentiate by participant type, where relevant.

The following subsections should include a description of the study population(s) and participant recruitment. The study population should be appropriate for clinical trial phase/stage of the study intervention. It is essential that the population’s characteristics be considered during the trial planning phase to ensure the trial can adequately meet its objectives and provide evidence for the total population that will potentially utilize the study intervention under evaluation (e.g., elderly and pediatric populations, women, and minorities).

Behavioral studies often have unique units of measurement. For example, the study may evaluate at the clinic or classroom level, rather than at a patient or student level. In other cases, the care provider could be the subject of the intervention. It may even evaluate at multiple levels within the same protocol. The description of the study population should match the unit of measurement or level of analysis; there is no expectation that characteristics of individual participants be described if inclusion/exclusion criteria are based on group characteristics. 

Use the following guidelines when developing participant eligibility criteria to be listed in Sections 5.1 Inclusion Criteria and 5.2 Exclusion Criteria:

• The eligibility criteria should provide a definition of participant characteristics required for study entry/enrollment. 
• Determine if screening procedures will be performed under a separate screening consent form as part of this protocol or under a separate screening protocol.
• The risks of the study intervention should be considered in the development of the inclusion/exclusion criteria so that risks are minimized.
• The same criterion should not be listed as both an inclusion and exclusion criterion (e.g., do not state age >18 years old as an inclusion criterion and age ≤18 years old as an exclusion criterion).
• Identify specific laboratory tests or clinical characteristics that will be used as criteria for enrollment or exclusion.
• If reproductive status (e.g., pregnancy, lactation, reproductive potential) is an eligibility criterion, provide specific contraception requirements (e.g., licensed hormonal or barrier methods). 
• If you have more than one study population, please define the common inclusion and exclusion criteria followed by the specific inclusion and exclusion criteria for each subpopulation."
